00KSCJkYb8JKa4Y3	rock,emo
00i0OB17z3m3yamO	alternative rock,rock,alternative metal
019Q5nZ079pL34qa	electropop,art pop,synthpop
01I5p010ajulr0O5	pop
01rMxQv6vhyE1oQX	pop punk,rock,pop,pop rock
02Oy8Rwe5K5TIhjk	funk,hip hop
02RGE9FNH65RtMS7	trance,electronic,techno
02hzaGar7vnWY4fJ	electronic
02vi0nu34pnQBFi6	pop
04KHUHlgU8Pg1MAu	britpop,rock,pop
04Q618WBtwDztix8	rap,hip hop
04elyRT3sHC2gYJK	synthpop,electropop,electronic
04q3VppIQEET5rzy	trance,trance,vocal trance,electronic
0632Mc6uw64xV8nF	pop punk,rock
06HvNTU9M9lnH71I	jazz,easy listening,swing
06v3fePSdhXxX3NI	synthpop,electronic,post-punk
07AjGMk31TkPW3O9	rap,hip hop
07CXv8n4sD9Fy96e	mpb,samba
07DgzvdwswlSllK2	folk,mpb
07qxWvKCXR9hamHv	soul,electronic
07xF9Q0K1t3ist7K	latin
08v0FvF1HMmprM3l	metalcore,metal,hardcore,melodic death metal
09OveAcM2Xu5xSzN	alternative rock,rock
09sQQ4Vuv3Yo0im2	alternative rock,pop punk
09x1tVvfWezpMRdM	hardcore,post-hardcore,experimental,metalcore,post-hardcore,experimental,hardcore
0Ac9BENyp3oekNpb	sludge metal,doom metal,metal
0AlGixL2NbCGPjzq	britpop,madchester,rock
0BHQpSlNFgsZHaZE	industrial metal,metal,industrial,rock
0BOXhdc7gj5c6FO0	jazz,blues
0Cat84jO1v3bXluU	jazz
0CkkjxzAsaEnCq6E	folk,country,pop
0CqZ4DcPLbgOlxOk	reggae
0Cweeu5lrQVwRuAk	progressive rock,doom metal
0DANaW6XgBRYfiET	soul,funk
0DgZlQ8A5OuusSC0	electronic,indie pop
0DjU7vZx56D9cK3K	new wave,pop rock
0EH41J9Yur5x0FNv	indie rock,rock
0EkeANTAetzZFrjm	post-hardcore,alternative rock
0GnTDgYjq26RBVmW	remix
0H7nBnNHtv1Ycxbn	pop
0HNfZ7NMpnEWYRjW	pop
0HaCOXEdLTASrU4P	post-hardcore,emo,screamo,rock,emocore
0Hxgv7xgxVyFcHIb	classic rock,rock,progressive rock
0Hy6OyiGTK9VRort	hardcore punk,punk,hardcore
0IGMFBtZCxXxnJGm	rock,alternative rock
0IOVWAhbdf1CsekA	progressive rock,classic rock,rock,psychedelic rock
0J0w2zXsrbRWzPrL	electronic
0J9UQ9GC3VO4l3oU	classic rock,blues
0JD8zXCdku6KeBIk	house,lounge,electronic
0K2vsBA9smDZxKno	punk
0KJ3RQhIgxlRNbyU	alternative metal,metal,rock
0KrfpITRYCMTHZno	pop,rock,singer-songwriter,alternative rock
0KtUZOqkXcs5Q4Cn	synthpop,electropop,art pop
0KtVngQ3MYfJDlFc	pop,electronic,soul,synthpop,pop,electronic
0LFQMQ0Zx2oKHVJO	folk,indie rock,art rock,world
0LSUejQYM3CNyFvB	brutal death metal,technical deathcore,death metal
0LwSoPupgcdqr4Iz	pop,mpb
0M6rQONIPVKkRx8u	synthpop,electronic
0MHinT7xVyogompy	rap
0MWOdRTVAx0staZz	pop,rock,pop rock
0MhSVMMC2sqqHQIa	rock,indie rock
