00KSCJkYb8JKa4Y3	Annisokay	Coma Blue	Arms
00i0OB17z3m3yamO	Three Days Grace	Sign of the Times	Transit Of Venus
019Q5nZ079pL34qa	ionnalee	JOY	EVERYONE AFRAID TO BE FORGOTTEN
01I5p010ajulr0O5	Alesso	If It Wasn't For You	Forever
01rMxQv6vhyE1oQX	Against the Current	Chasing Ghosts	In Our Bones
02Oy8Rwe5K5TIhjk	will.i.am	Heartbreaker	Songs About Girls
02RGE9FNH65RtMS7	Barthezz	Infected	Trance - The Early Years (1997-2002)
02hzaGar7vnWY4fJ	Future Islands	In Evening Air	In Evening Air
02vi0nu34pnQBFi6	Britney Spears	Intimidated	The Singles Collection
04KHUHlgU8Pg1MAu	McFly	Smile	radio:ACTIVE
04Q618WBtwDztix8	Mapei	Don't Wait - Acoustic	Don't Wait
04elyRT3sHC2gYJK	Empathy Test	Kirrilee	Losing Touch
04q3VppIQEET5rzy	The Thrillseekers	Synaesthesia (Fly Away) - Radio Edit	Synaesthesia (Fly Away)
0632Mc6uw64xV8nF	Simple Plan	Generation	Simple Plan
06HvNTU9M9lnH71I	Michael Bublé	That's All	Michael Bublé (US Version)
06v3fePSdhXxX3NI	Movement	Control You	MOVEMENT
07AjGMk31TkPW3O9	The Sugarhill Gang	Rapper's Delight	Rhino Hi-Five: The Sugarhill Gang
07CXv8n4sD9Fy96e	Gilberto Gil	Tradição	The Best of Caetano Veloso
07DgzvdwswlSllK2	O Teatro Mágico	Realejo	Entrada para Raros (10th Anniversary Edition)
07qxWvKCXR9hamHv	Kelela	Cherry Coffee (Prod. Jam City)	CUT 4 ME
07xF9Q0K1t3ist7K	Jorge Ben	Ponta de lança africano (Umbabarauma)	Brazil Classics 1: Beleza Tropical
08v0FvF1HMmprM3l	As I Lay Dying	Comfort Betrays	An Ocean Between Us
09OveAcM2Xu5xSzN	Radiohead	You and Whose Army?	Amnesiac
09sQQ4Vuv3Yo0im2	You Me at Six	This Is the First Thing	Sinners Never Sleep
09x1tVvfWezpMRdM	Fear Before The March Of Flames	The Waiting Makes Me Curious	The Always Open Mouth
0Ac9BENyp3oekNpb	Eyehategod	Methamphetamine	"Preaching the ""End-Time"" Message"
0AlGixL2NbCGPjzq	The Stone Roses	She Bangs the Drums	The Stone Roses
0BHQpSlNFgsZHaZE	Rob Zombie	American Witch	Educated Horses
0BOXhdc7gj5c6FO0	Billie Holiday	God Bless The Child	The Lady Sings
0Cat84jO1v3bXluU	Lester Young	These Foolish Things (Remind Me of You)	In Washington D.C. 1956, Vol. 2
0CkkjxzAsaEnCq6E	Lady Gaga	Joanne	Joanne (Deluxe)
0CqZ4DcPLbgOlxOk	Marina Peralta	Quase Nada	Agradece
0Cweeu5lrQVwRuAk	Anathema	Harmonium	A Natural Disaster (Remastered)
0DANaW6XgBRYfiET	Prince	Call My Name	Musicology
0DgZlQ8A5OuusSC0	Little Dragon	Ritual Union	Ritual Union
0DjU7vZx56D9cK3K	Indochine	Tes Yeux Noirs	Le Birthday album
0EH41J9Yur5x0FNv	Kasabian	L.S.F. (Lost Souls Forever)	Kasabian - Live At Brixton Academy
0EkeANTAetzZFrjm	Reuben	Moving to Blackwater	Moving to Blackwater
0GnTDgYjq26RBVmW	BANKS	Warm Water - Snakehips Remix	Warm Water (Snakehips Remix)
0H7nBnNHtv1Ycxbn	Cliff Richard	The Young Ones	The Young Ones
0HNfZ7NMpnEWYRjW	Sam Smith	Too Good at Goodbyes	The Thrill Of It All (Special Edition)
0HaCOXEdLTASrU4P	Funeral for a Friend	Roses for the Dead	Hours
0Hxgv7xgxVyFcHIb	Electric Light Orchestra	Here Is the News	Time
0Hy6OyiGTK9VRort	Frank Carter & The Rattlesnakes	God Is My Friend	Modern Ruin
0IGMFBtZCxXxnJGm	Violent Femmes	Kiss Off	Violent Femmes
0IOVWAhbdf1CsekA	Pink Floyd	Nobody Home	The Wall
0J0w2zXsrbRWzPrL	Vendredi sur Mer	Mon chagrin	Premiers émois
0J9UQ9GC3VO4l3oU	Derek and the Dominos	It's Too Late	Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered)
0JD8zXCdku6KeBIk	Late Night Alumni	Empty Streets	Empty Streets (Remixes)
0K2vsBA9smDZxKno	Bad Religion	Markovian Process	Stranger Than Fiction
0KJ3RQhIgxlRNbyU	System of a Down	Forest	Toxicity
0KrfpITRYCMTHZno	Rob Thomas	One Less Day (Dying Young)	Chip Tooth Smile
0KtUZOqkXcs5Q4Cn	Little Dragon	Underbart	Nabuma Rubberband
0KtVngQ3MYfJDlFc	MNEK	Phone	Language
0LFQMQ0Zx2oKHVJO	Cambriana	You, the Living	Manaus Vidaloka
0LSUejQYM3CNyFvB	Katalepsy	Cold Flesh Citadel	Autopsychosis
0LwSoPupgcdqr4Iz	Jade Baraldo	I Adore U	I Adore U
0M6rQONIPVKkRx8u	The Black Queen	Impossible Condition	Infinite Games
0MHinT7xVyogompy	DJONGA	Entre o Código da Espada e o Perfume da Rosa	Heresia
0MWOdRTVAx0staZz	Avril Lavigne	My World	Let Go
0MhSVMMC2sqqHQIa	Peter Doherty	Last of the English Roses	Grace/Wastelands
0Ms5TgXO81hi7Jzd	Sleigh Bells	Tiger Kit	Bitter Rivals
0MsogDqbmJNTohet	Green Day	Welcome to Paradise	Dookie
0NYOybOH3K7w2I38	Nomy	You Better Die Young	Song or suicide
0P7FMi0IH8YC29jA	IAMX	Missile	Kiss + Swallow
0QFRc22ra1SdrQsy	Neurosis	Flood	Sovereign (Remastered)
0QSuci5nyuRojGbo	Horna	Kuoleva Lupaus	Envaatnags Eflos Solf Esgantaavne
0Qeai2jYu5cjc3vE	Patrick Stump	Love, Selfish Love	Truant Wave EP
0SeDKeYWE9enzz8Q	Madonna	Candy Shop Medley (Live)	Sticky & Sweet Tour
0TZKbee0wUzeBhmP	Pavement	The Hexx	Terror Twilight
0UhNk0cWCHoH6xDw	Solar Fields	Our blue stones	Altered - Second Movements
0ViWaphaNb4lXxJL	The Cinematic Orchestra	Man With the Movie Camera	Man With A Movie Camera
0WFZwWXu92pi1twc	Autechre	Caliper Remote	LP5
0WOk5FhwZDiWMplz	Yung Hurn	Nein	In Memory of Yung Hurn - Classic Compilation
0We9TRA5zyjS7ush	The Pretty Reckless	Factory Girl	Light Me Up
0WeIKLZh9Nzcd2Ew	Com Truise	Air Cal	Galactic Melt
0WgRx89fMmuDHuHS	The Vamps	Be With You	Wake Up (Deluxe)
0Wtc7y7OYuJ3y9jO	Olodum	Vem Meu Amor	A Música do Olodum
0XEkr1yWNujXRI6W	Gossip	Coal To Diamonds	Standing in the Way of Control
0XqU6v83ZMOeh4wc	Cherry Bullet	Q&A	Cherry Bullet 1st Single Album Let's Play Cherry Bullet
0Xqhhociv7ySUC27	Sandy & Junior	Replay (Slip Away)	Sandy & Junior 2006
0YG71J60HAJ5Glxd	UFO	Doctor Doctor	Phenomenon (2007 Remaster)
0YPssy4JykwvVcCR	Phoebe Bridgers	Chelsea	Stranger in the Alps
0ZWpQKODgG3lj4h7	Vetusta Morla	Golpe Maestro	La Deriva
0ZeUa6hsJJrS2bI4	Amesoeurs	Recueillement	Amesoeurs
0Zi1bAxCIYryXmG8	New Order	Ceremony	Singles (Remastered)
0aFIFfBrPqFVAofA	Declan McKenna	Mind	What Do You Think About the Car?
0aK8gzuVHgZDf7lR	La Oreja de Van Gogh	Muñeca de trapo	Guapa
0acxku2l9vauMUwS	Britney Spears	Trouble for Me	Femme Fatale (Deluxe Version)
0af8zLRGs4G32GCl	XXXTentacion	YuNg BrAtZ	Revenge
0b55VXwGLfCLa4aN	Bruna Karla	Em Momentos Assim	Advogado Fiel
0bUiHslp8DhRf5rP	The Gathering	Liberty Bell	How to Measure a Planet? (Deluxe Edition)
0bdspL9LsnBaXFjS	Paloma Faith	Older	The Architect (Zeitgeist Edition)
0cGbpUlhorS5ZvL7	Nelly Furtado	Childhood Dreams	Folklore
0cWzZFhnGkmgefNn	Psychedelic Porn Crumpets	Buzz	High Visceral, Pt. 2
0cYTIIElIl2tFyoW	Avenged Sevenfold	Trashed and Scattered	City Of Evil (PA Version)
0dU75Rzwm99uedjr	The Vaccines	English Graffiti	English Graffiti (Deluxe)
0dXI6c6CorcfmgB2	Flotsam and Jetsam	Unwelcome Surprise	The End of Chaos
0dn6u1qHmbl3T2DB	Bill Charlap	The Nearness Of You	Stardust: The Music Of Hoagy Carmichael
0dvDjji9Y2ZDvsmU	Forever the Sickest Kids	We Found Love	Punk Goes Pop, Vol. 5
0eevOaGbxIFyawks	Godspeed You! Black Emperor	We Drift Like Worried Fire	Allelujah! Don't Bend! Ascend!
0esYQXzcKfzGRHFQ	Touché Amoré	Palm Dreams	Stage Four (Deluxe Edition)
0fceDYFPDO4huXRR	Chuck Berry	Brown Eyed Handsome Man	The Great Twenty-Eight
0fsqAbzSxobL06Q9	Wire	Pink Flag	Pink Flag
0g473y5n6Abn9EKK	Hop Along	No Good Al Joad	Get Disowned
0gLBuy5wKXD3WIF6	Belvedere	Three's a Crowd	Fast Forward Eats the Tape
0gUXBLKIvNFF46dT	DJ Shadow	Six Days	The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)
0gs86tF7CLIV73wE	Girls' Generation	PARTY	Lion Heart - The 5th Album
0h2qKn4QYied7Wc6	Patrick Watson	Places You Will Go	Love Songs For Robots
0h8G1bhVFVP6G9Km	Crystal Castles	Suffocation	(II)
0hEIp7b43rLAiZVR	Lucinda Williams	Still I Long For Your Kiss	Car Wheels On A Gravel Road
0hcO6fu02UtR1iSd	Wintersun	The Forest That Weeps (Summer)	The Forest Seasons
0hfTaonRSy4Ji6Fx	Palaye Royale	Sick Boy Soldier	Boom Boom Room (Side A)
0hi5FGoizAXxin1K	Ashanti	Focus	Concrete Rose
