00KSCJkYb8JKa4Y3	rock,german,progressive,emo
00i0OB17z3m3yamO	alternative rock,rock,alternative metal,alternative
019Q5nZ079pL34qa	electropop,art pop,synthpop
01I5p010ajulr0O5	dance,pop,forever,bigroom
01rMxQv6vhyE1oQX	pop punk,rock,pop,alternative,pop rock
02Oy8Rwe5K5TIhjk	rnb,hip-hop,dance,funk,hip hop
02RGE9FNH65RtMS7	trance,electronic,dance,techno
02hzaGar7vnWY4fJ	indie,chillout,electronic,baltimore,2010,10s
02vi0nu34pnQBFi6	pop,sexy,hot,dance
04KHUHlgU8Pg1MAu	britpop,rock,fun,pop,catchy,happy
04Q618WBtwDztix8	swedish,rap,hip-hop,hip hop,indie,female vocalists
04elyRT3sHC2gYJK	synthpop,electropop,electronic
04q3VppIQEET5rzy	trance,dance,trance,vocal trance,electronic
0632Mc6uw64xV8nF	pop punk,rock,punk rock,simple plan,generation
06HvNTU9M9lnH71I	jazz,easy listening,michael buble,swing
06v3fePSdhXxX3NI	2014,coldwave,synthpop,electronic,post-punk,1984
07AjGMk31TkPW3O9	hip-hop,rap,old school,hip hop,80s,70s
07CXv8n4sD9Fy96e	brasil,70s,mpb,samba,gilberto gil,ba
07DgzvdwswlSllK2	brazilian,folk,alternative,00s,teatro magico,mpb,alternative,brazilian
07qxWvKCXR9hamHv	soul,progressive,rnb,dreamy,rnb,electronic,trip-hop
07xF9Q0K1t3ist7K	brasil,latin,jorge ben,brazil
08v0FvF1HMmprM3l	metalcore,metal,hardcore,melodic death metal
09OveAcM2Xu5xSzN	alternative,alternative rock,rock,radiohead,british
09sQQ4Vuv3Yo0im2	alternative rock,pop punk,love at first listen,british
09x1tVvfWezpMRdM	hardcore,post-hardcore,experimental,metalcore,post-hardcore,experimental,hardcore
0Ac9BENyp3oekNpb	sludge,sludge metal,doom metal,metal
0AlGixL2NbCGPjzq	britpop,indie,80s,madchester,rock,british
0BHQpSlNFgsZHaZE	industrial metal,metal,industrial,rock
0BOXhdc7gj5c6FO0	jazz,female vocalists,blues,billie holiday
0Cat84jO1v3bXluU	jazz,hours of the southern afternoon
